A00	Cholera
M81.31	Postsurgical malabsorption osteoporosis
M81.32	Postsurgical malabsorption osteoporosis
M81.33	Postsurgical malabsorption osteoporosis
M81.34	Postsurgical malabsorption osteoporosis
M81.35	Postsurgical malabsorption osteoporosis
M81.36	Postsurgical malabsorption osteoporosis
M81.37	Postsurgical malabsorption osteoporosis
M81.38	Postsurgical malabsorption osteoporosis
M81.39	Postsurgical malabsorption osteoporosis
M81.4	Drug-induced osteoporosis
M81.40	Drug-induced osteoporosis
M81.41	Drug-induced osteoporosis
M81.42	Drug-induced osteoporosis
M81.43	Drug-induced osteoporosis
M81.44	Drug-induced osteoporosis
M81.45	Drug-induced osteoporosis
M81.46	Drug-induced osteoporosis
M81.47	Drug-induced osteoporosis
M81.48	Drug-induced osteoporosis
M81.49	Drug-induced osteoporosis
M81.5	Idiopathic osteoporosis
M81.50	Idiopathic osteoporosis
M81.51	Idiopathic osteoporosis
M81.52	Idiopathic osteoporosis
M81.53	Idiopathic osteoporosis
M81.54	Idiopathic osteoporosis
M81.55	Idiopathic osteoporosis
M81.56	Idiopathic osteoporosis
M81.57	Idiopathic osteoporosis
M81.58	Idiopathic osteoporosis
M81.59	Idiopathic osteoporosis
M81.6	Localized osteoporosis [Lequesne]
M81.60	Localized osteoporosis [Lequesne]
M81.61	Localized osteoporosis [Lequesne]
M81.62	Localized osteoporosis [Lequesne]
M81.63	Localized osteoporosis [Lequesne]
M81.64	Localized osteoporosis [Lequesne]
M81.65	Localized osteoporosis [Lequesne]
M81.66	Localized osteoporosis [Lequesne]
M81.67	Localized osteoporosis [Lequesne]
M81.68	Localized osteoporosis [Lequesne]
M81.69	Localized osteoporosis [Lequesne]
M81.8	Other osteoporosis
M81.80	Other osteoporosis
M81.81	Other osteoporosis
M81.82	Other osteoporosis
M81.83	Other osteoporosis
M81.84	Other osteoporosis
M81.85	Other osteoporosis
M81.86	Other osteoporosis
M81.87	Other osteoporosis
M81.88	Other osteoporosis
M81.89	Other osteoporosis
M81.9	Osteoporosis, unspecified
M81.90	Osteoporosis, unspecified
M81.91	Osteoporosis, unspecified
M81.92	Osteoporosis, unspecified
M81.93	Osteoporosis, unspecified
M81.94	Osteoporosis, unspecified
M81.95	Osteoporosis, unspecified
M81.96	Osteoporosis, unspecified
M81.97	Osteoporosis, unspecified
M81.98	Osteoporosis, unspecified
M81.99	Osteoporosis, unspecified
M82.0	Osteoporosis in multiple myelomatosis
M82.00	Osteoporosis in multiple myelomatosis
M82.01	Osteoporosis in multiple myelomatosis
M82.02	Osteoporosis in multiple myelomatosis
M82.03	Osteoporosis in multiple myelomatosis
M82.04	Osteoporosis in multiple myelomatosis
M82.05	Osteoporosis in multiple myelomatosis
M82.06	Osteoporosis in multiple myelomatosis
M82.07	Osteoporosis in multiple myelomatosis
M82.08	Osteoporosis in multiple myelomatosis
M82.09	Osteoporosis in multiple myelomatosis
M82.1	Osteoporosis in endocrine disorders
M82.10	Osteoporosis in endocrine disorders
M82.11	Osteoporosis in endocrine disorders
M82.12	Osteoporosis in endocrine disorders
M82.13	Osteoporosis in endocrine disorders
M82.14	Osteoporosis in endocrine disorders
M82.15	Osteoporosis in endocrine disorders
M82.16	Osteoporosis in endocrine disorders
M82.17	Osteoporosis in endocrine disorders
M82.18	Osteoporosis in endocrine disorders
M82.19	Osteoporosis in endocrine disorders
M82.8	Osteoporosis in other diseases classified elsewhere
M82.80	Osteoporosis in other diseases classified elsewhere
M82.81	Osteoporosis in other diseases classified elsewhere
M82.82	Osteoporosis in other diseases classified elsewhere
M82.83	Osteoporosis in other diseases classified elsewhere
M82.84	Osteoporosis in other diseases classified elsewhere
M82.85	Osteoporosis in other diseases classified elsewhere
M82.86	Osteoporosis in other diseases classified elsewhere
M82.87	Osteoporosis in other diseases classified elsewhere
M82.88	Osteoporosis in other diseases classified elsewhere
M82.89	Osteoporosis in other diseases classified elsewhere
M83.0	Puerperal osteomalacia
M83.00	Puerperal osteomalacia
M83.01	Puerperal osteomalacia
M83.02	Puerperal osteomalacia
M83.03	Puerperal osteomalacia
M83.04	Puerperal osteomalacia
M83.05	Puerperal osteomalacia
M83.06	Puerperal osteomalacia
M83.07	Puerperal osteomalacia
M83.08	Puerperal osteomalacia
M83.09	Puerperal osteomalacia
M83.1	Senile osteomalacia
M83.10	Senile osteomalacia
M83.11	Senile osteomalacia
M83.12	Senile osteomalacia
M83.13	Senile osteomalacia
M83.14	Senile osteomalacia
M83.15	Senile osteomalacia
M83.16	Senile osteomalacia
M83.17	Senile osteomalacia
M83.18	Senile osteomalacia
M83.19	Senile osteomalacia
M83.2	Adult osteomalacia due to malabsorption
M83.20	Adult osteomalacia due to malabsorption
M83.21	Adult osteomalacia due to malabsorption
M83.22	Adult osteomalacia due to malabsorption
M83.23	Adult osteomalacia due to malabsorption
M83.24	Adult osteomalacia due to malabsorption
M83.25	Adult osteomalacia due to malabsorption
M83.26	Adult osteomalacia due to malabsorption
M83.27	Adult osteomalacia due to malabsorption
M83.28	Adult osteomalacia due to malabsorption
M83.29	Adult osteomalacia due to malabsorption
M83.3	Adult osteomalacia due to malnutrition
M83.30	Adult osteomalacia due to malnutrition
M83.31	Adult osteomalacia due to malnutrition
M83.32	Adult osteomalacia due to malnutrition
M83.33	Adult osteomalacia due to malnutrition
M83.34	Adult osteomalacia due to malnutrition
M83.35	Adult osteomalacia due to malnutrition
M83.36	Adult osteomalacia due to malnutrition
M83.37	Adult osteomalacia due to malnutrition
M83.38	Adult osteomalacia due to malnutrition
M83.39	Adult osteomalacia due to malnutrition
M83.4	Aluminium bone disease
M83.40	Aluminium bone disease
M83.41	Aluminium bone disease
M83.42	Aluminium bone disease
M83.43	Aluminium bone disease
M83.44	Aluminium bone disease
M83.45	Aluminium bone disease
M83.46	Aluminium bone disease
M83.47	Aluminium bone disease
M83.48	Aluminium bone disease
M83.49	Aluminium bone disease
M83.5	Other drug-induced osteomalacia in adults
M83.50	Other drug-induced osteomalacia in adults
M83.51	Other drug-induced osteomalacia in adults
M83.52	Other drug-induced osteomalacia in adults
M83.53	Other drug-induced osteomalacia in adults
M83.54	Other drug-induced osteomalacia in adults
M83.55	Other drug-induced osteomalacia in adults
M83.56	Other drug-induced osteomalacia in adults
M83.57	Other drug-induced osteomalacia in adults
M83.58	Other drug-induced osteomalacia in adults
M83.59	Other drug-induced osteomalacia in adults
M83.8	Other adult osteomalacia
M83.80	Other adult osteomalacia
M83.81	Other adult osteomalacia
M83.82	Other adult osteomalacia
M83.83	Other adult osteomalacia
M83.84	Other adult osteomalacia
M83.85	Other adult osteomalacia
M83.86	Other adult osteomalacia
M83.87	Other adult osteomalacia
M83.88	Other adult osteomalacia
M83.89	Other adult osteomalacia
M83.9	Adult osteomalacia, unspecified
M83.90	Adult osteomalacia, unspecified
M83.91	Adult osteomalacia, unspecified
M83.92	Adult osteomalacia, unspecified
M83.93	Adult osteomalacia, unspecified
M83.94	Adult osteomalacia, unspecified
M83.95	Adult osteomalacia, unspecified
M83.96	Adult osteomalacia, unspecified
M83.97	Adult osteomalacia, unspecified
M83.98	Adult osteomalacia, unspecified
M83.99	Adult osteomalacia, unspecified
M84.0	Malunion of fracture
M84.00	Malunion of fracture
M84.01	Malunion of fracture
M84.02	Malunion of fracture
M84.03	Malunion of fracture
M84.04	Malunion of fracture
M84.05	Malunion of fracture
M84.06	Malunion of fracture
M84.07	Malunion of fracture
M84.08	Malunion of fracture
M84.09	Malunion of fracture
M84.1	Nonunion of fracture [pseudarthrosis]
M84.10	Nonunion of fracture [pseudarthrosis]
M84.11	Nonunion of fracture [pseudarthrosis]
M84.12	Nonunion of fracture [pseudarthrosis]
M84.13	Nonunion of fracture [pseudarthrosis]
M84.14	Nonunion of fracture [pseudarthrosis]
M84.15	Nonunion of fracture [pseudarthrosis]
M84.16	Nonunion of fracture [pseudarthrosis]
M84.17	Nonunion of fracture [pseudarthrosis]
M84.18	Nonunion of fracture [pseudarthrosis]
M84.19	Nonunion of fracture [pseudarthrosis]
M84.2	Delayed union of fracture
M84.20	Delayed union of fracture
M84.21	Delayed union of fracture
M84.22	Delayed union of fracture
M84.23	Delayed union of fracture
M84.24	Delayed union of fracture
M84.25	Delayed union of fracture
M84.26	Delayed union of fracture
M84.27	Delayed union of fracture
M84.28	Delayed union of fracture
M84.29	Delayed union of fracture
M84.3	Stress fracture, not elsewhere classified
M84.30	Stress fracture, not elsewhere classified
M84.31	Stress fracture, not elsewhere classified
M84.311	Stress fracture, right shoulder (non-NHS term)
M84.312	Stress fracture, left shoulder (non-NHS term)
M84.319	Stress fracture, unspecified shoulder (non-NHS term)
M84.32	Stress fracture, not elsewhere classified
M84.321	Stress fracture, right humerus (non-NHS term)
M84.322	Stress fracture, left humerus (non-NHS term)
M84.329	Stress fracture, unspecified humerus (non-NHS term)
M84.33	Stress fracture, not elsewhere classified
M84.331	Stress fracture, right ulna (non-NHS term)
M84.332	Stress fracture, left ulna (non-NHS term)
M84.333	Stress fracture, right radius (non-NHS term)
M84.334	Stress fracture, left radius (non-NHS term)
M84.339	Stress fracture, unspecified ulna and radius (non-NHS term)
M84.34	Stress fracture, not elsewhere classified
M84.341	Stress fracture, right hand (non-NHS term)
M84.342	Stress fracture, left hand (non-NHS term)
M84.343	Stress fracture, unspecified hand (non-NHS term)
M84.344	Stress fracture, right finger(s) (non-NHS term)
M84.345	Stress fracture, left finger(s) (non-NHS term)
M84.346	Stress fracture, unspecified finger(s) (non-NHS term)
M84.35	Stress fracture, not elsewhere classified
M84.350	Stress fracture, pelvis (non-NHS term)
M84.351	Stress fracture, right femur (non-NHS term)
M84.352	Stress fracture, left femur (non-NHS term)
M84.353	Stress fracture, unspecified femur (non-NHS term)
M84.359	Stress fracture, hip, unspecified (non-NHS term)
M84.36	Stress fracture, not elsewhere classified
M84.361	Stress fracture, right tibia (non-NHS term)
M84.362	Stress fracture, left tibia (non-NHS term)
M84.363	Stress fracture, right fibula (non-NHS term)
M84.364	Stress fracture, left fibula (non-NHS term)
M84.369	Stress fracture, unspecified tibia and fibula (non-NHS term)
M84.37	Stress fracture, not elsewhere classified
M84.371	Stress fracture, right ankle (non-NHS term)
M84.372	Stress fracture, left ankle (non-NHS term)
M84.373	Stress fracture, unspecified ankle (non-NHS term)
M84.374	Stress fracture, right foot (non-NHS term)
M84.375	Stress fracture, left foot (non-NHS term)
M84.376	Stress fracture, unspecified foot (non-NHS term)
M84.377	Stress fracture, right toe(s) (non-NHS term)
M84.378	Stress fracture, left toe(s) (non-NHS term)
M84.379	Stress fracture, unspecified toe(s) (non-NHS term)
M84.38	Stress fracture, not elsewhere classified
M84.39	Stress fracture, not elsewhere classified
M84.4	Pathological fracture, not elsewhere classified
M84.40	Pathological fracture, not elsewhere classified
M84.41	Pathological fracture, not elsewhere classified
M84.411	Pathological fracture, right shoulder (non-NHS term)
M84.412	Pathological fracture, left shoulder (non-NHS term)
M84.419	Pathological fracture, unspecified shoulder (non-NHS term)
M84.42	Pathological fracture, not elsewhere classified
M84.421	Pathological fracture, right humerus (non-NHS term)
M84.422	Pathological fracture, left humerus (non-NHS term)
M84.429	Pathological fracture, unspecified humerus (non-NHS term)
M84.43	Pathological fracture, not elsewhere classified
M84.431	Pathological fracture, right ulna (non-NHS term)
M84.432	Pathological fracture, left ulna (non-NHS term)
M84.433	Pathological fracture, right radius (non-NHS term)
M84.434	Pathological fracture, left radius (non-NHS term)
M84.439	Pathological fracture, unspecified ulna and radius (non-NHS term)
M84.44	Pathological fracture, not elsewhere classified
M84.441	Pathological fracture, right hand (non-NHS term)
M84.442	Pathological fracture, left hand (non-NHS term)
M84.443	Pathological fracture, unspecified hand (non-NHS term)
M84.444	Pathological fracture, right finger(s) (non-NHS term)
M84.445	Pathological fracture, left finger(s) (non-NHS term)
M84.446	Pathological fracture, unspecified finger(s) (non-NHS term)
M84.45	Pathological fracture, not elsewhere classified
M84.451	Pathological fracture, right femur (non-NHS term)
M84.452	Pathological fracture, left femur (non-NHS term)
M84.453	Pathological fracture, unspecified femur (non-NHS term)
M84.454	Pathological fracture, pelvis (non-NHS term)
M84.459	Pathological fracture, hip, unspecified (non-NHS term)
M84.46	Pathological fracture, not elsewhere classified
M84.461	Pathological fracture, right tibia (non-NHS term)
M84.462	Pathological fracture, left tibia (non-NHS term)
M84.463	Pathological fracture, right fibula (non-NHS term)
M84.464	Pathological fracture, left fibula (non-NHS term)
M84.469	Pathological fracture, unspecified tibia and fibula (non-NHS term)
M84.47	Pathological fracture, not elsewhere classified
M84.471	Pathological fracture, right ankle (non-NHS term)
M84.472	Pathological fracture, left ankle (non-NHS term)
M84.473	Pathological fracture, unspecified ankle (non-NHS term)
M84.474	Pathological fracture, right foot (non-NHS term)
M84.475	Pathological fracture, left foot (non-NHS term)
M84.476	Pathological fracture, unspecified foot (non-NHS term)
M84.477	Pathological fracture, right toe(s) (non-NHS term)
M84.478	Pathological fracture, left toe(s) (non-NHS term)
M84.479	Pathological fracture, unspecified toe(s) (non-NHS term)
M84.48	Pathological fracture, not elsewhere classified
M84.49	Pathological fracture, not elsewhere classified
M84.5	Pathological fracture in neoplastic disease (non-NHS term)
M84.50	Pathological fracture in neoplastic disease, unspecified site (non-NHS term)
M84.51	Pathological fracture in neoplastic disease, shoulder (non-NHS term)
M84.511	Pathological fracture in neoplastic disease, right shoulder (non-NHS term)
M84.512	Pathological fracture in neoplastic disease, left shoulder (non-NHS term)
M84.519	Pathological fracture in neoplastic disease, unspecified shoulder (non-NHS term)
M84.52	Pathological fracture in neoplastic disease, humerus (non-NHS term)
M84.521	Pathological fracture in neoplastic disease, right humerus (non-NHS term)
M84.522	Pathological fracture in neoplastic disease, left humerus (non-NHS term)
M84.529	Pathological fracture in neoplastic disease, unspecified humerus (non-NHS term)
M84.53	Pathological fracture in neoplastic disease, ulna and radius (non-NHS term)
M84.531	Pathological fracture in neoplastic disease, right ulna (non-NHS term)
M84.532	Pathological fracture in neoplastic disease, left ulna (non-NHS term)
M84.533	Pathological fracture in neoplastic disease, right radius (non-NHS term)
M84.534	Pathological fracture in neoplastic disease, left radius (non-NHS term)
M84.539	Pathological fracture in neoplastic disease, unspecified ulna and radius (non-NHS term)
M84.54	Pathological fracture in neoplastic disease, hand (non-NHS term)
M84.541	Pathological fracture in neoplastic disease, right hand (non-NHS term)
M84.542	Pathological fracture in neoplastic disease, left hand (non-NHS term)
M84.549	Pathological fracture in neoplastic disease, unspecified hand (non-NHS term)
M84.55	Pathological fracture in neoplastic disease, pelvis and femur (non-NHS term)
M84.550	Pathological fracture in neoplastic disease, pelvis (non-NHS term)
M84.551	Pathological fracture in neoplastic disease, right femur (non-NHS term)
M84.552	Pathological fracture in neoplastic disease, left femur (non-NHS term)
M84.553	Pathological fracture in neoplastic disease, unspecified femur (non-NHS term)
M84.559	Pathological fracture in neoplastic disease, hip, unspecified (non-NHS term)
M84.56	Pathological fracture in neoplastic disease, tibia and fibula (non-NHS term)
M84.561	Pathological fracture in neoplastic disease, right tibia (non-NHS term)
M84.562	Pathological fracture in neoplastic disease, left tibia (non-NHS term)
M84.563	Pathological fracture in neoplastic disease, right fibula (non-NHS term)
M84.564	Pathological fracture in neoplastic disease, left fibula (non-NHS term)
M84.569	Pathological fracture in neoplastic disease, unspecified tibia and fibula (non-NHS term)
M84.57	Pathological fracture in neoplastic disease, ankle and foot (non-NHS term)
M84.571	Pathological fracture in neoplastic disease, right ankle (non-NHS term)
M84.572	Pathological fracture in neoplastic disease, left ankle (non-NHS term)
M84.573	Pathological fracture in neoplastic disease, unspecified ankle (non-NHS term)
M84.574	Pathological fracture in neoplastic disease, right foot (non-NHS term)
M84.575	Pathological fracture in neoplastic disease, left foot (non-NHS term)
M84.576	Pathological fracture in neoplastic disease, unspecified foot (non-NHS term)
M84.58	Pathological fracture in neoplastic disease, other specified site (non-NHS term)
M84.6	Pathological fracture in other disease (non-NHS term)
M84.60	Pathological fracture in other disease, unspecified site (non-NHS term)
M84.61	Pathological fracture in other disease, shoulder (non-NHS term)
M84.611	Pathological fracture in other disease, right shoulder (non-NHS term)
M84.612	Pathological fracture in other disease, left shoulder (non-NHS term)
M84.619	Pathological fracture in other disease, unspecified shoulder (non-NHS term)
M84.62	Pathological fracture in other disease, humerus (non-NHS term)
M84.621	Pathological fracture in other disease, right humerus (non-NHS term)
M84.622	Pathological fracture in other disease, left humerus (non-NHS term)
M84.629	Pathological fracture in other disease, unspecified humerus (non-NHS term)
M84.63	Pathological fracture in other disease, ulna and radius (non-NHS term)
M84.631	Pathological fracture in other disease, right ulna (non-NHS term)
M84.632	Pathological fracture in other disease, left ulna (non-NHS term)
M84.633	Pathological fracture in other disease, right radius (non-NHS term)
M84.634	Pathological fracture in other disease, left radius (non-NHS term)
M84.639	Pathological fracture in other disease, unspecified ulna and radius (non-NHS term)
M84.64	Pathological fracture in other disease, hand (non-NHS term)
M84.641	Pathological fracture in other disease, right hand (non-NHS term)
M84.642	Pathological fracture in other disease, left hand (non-NHS term)
M84.649	Pathological fracture in other disease, unspecified hand (non-NHS term)
M84.65	Pathological fracture in other disease, pelvis and femur (non-NHS term)
M84.650	Pathological fracture in other disease, pelvis (non-NHS term)
M84.651	Pathological fracture in other disease, right femur (non-NHS term)
M84.652	Pathological fracture in other disease, left femur (non-NHS term)
M84.653	Pathological fracture in other disease, unspecified femur (non-NHS term)
M84.659	Pathological fracture in other disease, hip, unspecified (non-NHS term)
M84.66	Pathological fracture in other disease, tibia and fibula (non-NHS term)
M84.661	Pathological fracture in other disease, right tibia (non-NHS term)
M84.662	Pathological fracture in other disease, left tibia (non-NHS term)
M84.663	Pathological fracture in other disease, right fibula (non-NHS term)
M84.664	Pathological fracture in other disease, left fibula (non-NHS term)
M84.669	Pathological fracture in other disease, unspecified tibia and fibula (non-NHS term)
M84.67	Pathological fracture in other disease, ankle and foot (non-NHS term)
M84.671	Pathological fracture in other disease, right ankle (non-NHS term)
M84.672	Pathological fracture in other disease, left ankle (non-NHS term)
M84.673	Pathological fracture in other disease, unspecified ankle (non-NHS term)
M84.674	Pathological fracture in other disease, right foot (non-NHS term)
M84.675	Pathological fracture in other disease, left foot (non-NHS term)
M84.676	Pathological fracture in other disease, unspecified foot (non-NHS term)
M84.68	Pathological fracture in other disease, other site (non-NHS term)
M84.8	Other disorders of continuity of bone
M84.80	Other disorders of continuity of bone
M84.81	Other disorders of continuity of bone
M84.811	Other disorders of continuity of bone, right shoulder (non-NHS term)
M84.812	Other disorders of continuity of bone, left shoulder (non-NHS term)
M84.819	Other disorders of continuity of bone, unspecified shoulder (non-NHS term)
M84.82	Other disorders of continuity of bone
M84.821	Other disorders of continuity of bone, right humerus (non-NHS term)
M84.822	Other disorders of continuity of bone, left humerus (non-NHS term)
M84.829	Other disorders of continuity of bone, unspecified humerus (non-NHS term)
M84.83	Other disorders of continuity of bone
M84.831	Other disorders of continuity of bone, right ulna (non-NHS term)
M84.832	Other disorders of continuity of bone, left ulna (non-NHS term)
M84.833	Other disorders of continuity of bone, right radius (non-NHS term)
M84.834	Other disorders of continuity of bone, left radius (non-NHS term)
M84.839	Other disorders of continuity of bone, unspecified ulna and radius (non-NHS term)
M84.84	Other disorders of continuity of bone
M84.841	Other disorders of continuity of bone, right hand (non-NHS term)
M84.842	Other disorders of continuity of bone, left hand (non-NHS term)
M84.849	Other disorders of continuity of bone, unspecified hand (non-NHS term)
M84.85	Other disorders of continuity of bone
M84.851	Other disorders of continuity of bone, right pelvic region and thigh (non-NHS term)
M84.852	Other disorders of continuity of bone, left pelvic region and thigh (non-NHS term)
M84.859	Other disorders of continuity of bone, unspecified pelvic region and thigh (non-NHS term)
M84.86	Other disorders of continuity of bone
M84.861	Other disorders of continuity of bone, right tibia (non-NHS term)
M84.862	Other disorders of continuity of bone, left tibia (non-NHS term)
M84.863	Other disorders of continuity of bone, right fibula (non-NHS term)
M84.864	Other disorders of continuity of bone, left fibula (non-NHS term)
M84.869	Other disorders of continuity of bone, unspecified tibia and fibula (non-NHS term)
M84.87	Other disorders of continuity of bone
M84.871	Other disorders of continuity of bone, right ankle and foot (non-NHS term)
M84.872	Other disorders of continuity of bone, left ankle and foot (non-NHS term)
M84.879	Other disorders of continuity of bone, unspecified ankle and foot (non-NHS term)
M84.88	Other disorders of continuity of bone
M84.89	Other disorders of continuity of bone
M84.9	Disorder of continuity of bone, unspecified
M84.90	Disorder of continuity of bone, unspecified
M84.91	Disorder of continuity of bone, unspecified
M84.92	Disorder of continuity of bone, unspecified
M84.93	Disorder of continuity of bone, unspecified
M84.94	Disorder of continuity of bone, unspecified
M84.95	Disorder of continuity of bone, unspecified
M84.96	Disorder of continuity of bone, unspecified
M84.97	Disorder of continuity of bone, unspecified
M84.98	Disorder of continuity of bone, unspecified
M84.99	Disorder of continuity of bone, unspecified
M85.0	Fibrous dysplasia (monostotic)
M85.00	Fibrous dysplasia (monostotic)
M85.01	Fibrous dysplasia (monostotic)
M85.011	Fibrous dysplasia (monostotic), right shoulder (non-NHS term)
M85.012	Fibrous dysplasia (monostotic), left shoulder (non-NHS term)
M85.019	Fibrous dysplasia (monostotic), unspecified shoulder (non-NHS term)
M85.02	Fibrous dysplasia (monostotic)
M85.021	Fibrous dysplasia (monostotic), right upper arm (non-NHS term)
M85.022	Fibrous dysplasia (monostotic), left upper arm (non-NHS term)
M85.029	Fibrous dysplasia (monostotic), unspecified upper arm (non-NHS term)
M85.03	Fibrous dysplasia (monostotic)
M85.031	Fibrous dysplasia (monostotic), right forearm (non-NHS term)
M85.032	Fibrous dysplasia (monostotic), left forearm (non-NHS term)
M85.039	Fibrous dysplasia (monostotic), unspecified forearm (non-NHS term)
M85.04	Fibrous dysplasia (monostotic)
M85.041	Fibrous dysplasia (monostotic), right hand (non-NHS term)
M85.042	Fibrous dysplasia (monostotic), left hand (non-NHS term)
M85.049	Fibrous dysplasia (monostotic), unspecified hand (non-NHS term)
M85.05	Fibrous dysplasia (monostotic)
M85.051	Fibrous dysplasia (monostotic), right thigh (non-NHS term)
M85.052	Fibrous dysplasia (monostotic), left thigh (non-NHS term)
M85.059	Fibrous dysplasia (monostotic), unspecified thigh (non-NHS term)
M85.06	Fibrous dysplasia (monostotic)
M85.061	Fibrous dysplasia (monostotic), right lower leg (non-NHS term)
M85.062	Fibrous dysplasia (monostotic), left lower leg (non-NHS term)
M85.069	Fibrous dysplasia (monostotic), unspecified lower leg (non-NHS term)
M85.07	Fibrous dysplasia (monostotic)
M85.071	Fibrous dysplasia (monostotic), right ankle and foot (non-NHS term)
M85.072	Fibrous dysplasia (monostotic), left ankle and foot (non-NHS term)
M85.079	Fibrous dysplasia (monostotic), unspecified ankle and foot (non-NHS term)
M85.08	Fibrous dysplasia (monostotic)
M85.09	Fibrous dysplasia (monostotic)
M85.1	Skeletal fluorosis
M85.10	Skeletal fluorosis
M85.11	Skeletal fluorosis
M85.111	Skeletal fluorosis, right shoulder (non-NHS term)
M85.112	Skeletal fluorosis, left shoulder (non-NHS term)
M85.119	Skeletal fluorosis, unspecified shoulder (non-NHS term)
M85.12	Skeletal fluorosis
M85.121	Skeletal fluorosis, right upper arm (non-NHS term)
M85.122	Skeletal fluorosis, left upper arm (non-NHS term)
M85.129	Skeletal fluorosis, unspecified upper arm (non-NHS term)
M85.13	Skeletal fluorosis
M85.131	Skeletal fluorosis, right forearm (non-NHS term)
M85.132	Skeletal fluorosis, left forearm (non-NHS term)
M85.139	Skeletal fluorosis, unspecified forearm (non-NHS term)
M85.14	Skeletal fluorosis
M85.141	Skeletal fluorosis, right hand (non-NHS term)
M85.142	Skeletal fluorosis, left hand (non-NHS term)
M85.149	Skeletal fluorosis, unspecified hand (non-NHS term)
M85.15	Skeletal fluorosis
M85.151	Skeletal fluorosis, right thigh (non-NHS term)
M85.152	Skeletal fluorosis, left thigh (non-NHS term)
M85.159	Skeletal fluorosis, unspecified thigh (non-NHS term)
M85.16	Skeletal fluorosis
M85.161	Skeletal fluorosis, right lower leg (non-NHS term)
M85.162	Skeletal fluorosis, left lower leg (non-NHS term)
M85.169	Skeletal fluorosis, unspecified lower leg (non-NHS term)
M85.17	Skeletal fluorosis
M85.171	Skeletal fluorosis, right ankle and foot (non-NHS term)
M85.172	Skeletal fluorosis, left ankle and foot (non-NHS term)
M85.179	Skeletal fluorosis, unspecified ankle and foot (non-NHS term)
M85.18	Skeletal fluorosis
M85.19	Skeletal fluorosis
M85.2	Hyperostosis of skull
M85.3	Osteitis condensans
M85.30	Osteitis condensans
M85.31	Osteitis condensans
M85.311	Osteitis condensans, right shoulder (non-NHS term)
M85.312	Osteitis condensans, left shoulder (non-NHS term)
M85.319	Osteitis condensans, unspecified shoulder (non-NHS term)
M85.32	Osteitis condensans
M85.321	Osteitis condensans, right upper arm (non-NHS term)
M85.322	Osteitis condensans, left upper arm (non-NHS term)
M85.329	Osteitis condensans, unspecified upper arm (non-NHS term)
M85.33	Osteitis condensans
M85.331	Osteitis condensans, right forearm (non-NHS term)
M85.332	Osteitis condensans, left forearm (non-NHS term)
M85.339	Osteitis condensans, unspecified forearm (non-NHS term)
M85.34	Osteitis condensans
M85.341	Osteitis condensans, right hand (non-NHS term)
M85.342	Osteitis condensans, left hand (non-NHS term)
M85.349	Osteitis condensans, unspecified hand (non-NHS term)
M85.35	Osteitis condensans
M85.351	Osteitis condensans, right thigh (non-NHS term)
M85.352	Osteitis condensans, left thigh (non-NHS term)
M85.359	Osteitis condensans, unspecified thigh (non-NHS term)
M85.36	Osteitis condensans
M85.361	Osteitis condensans, right lower leg (non-NHS term)
M85.362	Osteitis condensans, left lower leg (non-NHS term)
M85.369	Osteitis condensans, unspecified lower leg (non-NHS term)
M85.37	Osteitis condensans
M85.371	Osteitis condensans, right ankle and foot (non-NHS term)
M85.372	Osteitis condensans, left ankle and foot (non-NHS term)
M85.379	Osteitis condensans, unspecified ankle and foot (non-NHS term)
M85.38	Osteitis condensans
M85.39	Osteitis condensans
M85.4	Solitary bone cyst
M85.40	Solitary bone cyst
M85.41	Solitary bone cyst
M85.411	Solitary bone cyst, right shoulder (non-NHS term)
M85.412	Solitary bone cyst, left shoulder (non-NHS term)
M85.419	Solitary bone cyst, unspecified shoulder (non-NHS term)
M85.42	Solitary bone cyst
M85.421	Solitary bone cyst, right humerus (non-NHS term)
M85.422	Solitary bone cyst, left humerus (non-NHS term)
M85.429	Solitary bone cyst, unspecified humerus (non-NHS term)
M85.43	Solitary bone cyst
M85.431	Solitary bone cyst, right ulna and radius (non-NHS term)
M85.432	Solitary bone cyst, left ulna and radius (non-NHS term)
M85.439	Solitary bone cyst, unspecified ulna and radius (non-NHS term)
M85.44	Solitary bone cyst
M85.441	Solitary bone cyst, right hand (non-NHS term)
M85.442	Solitary bone cyst, left hand (non-NHS term)
M85.449	Solitary bone cyst, unspecified hand (non-NHS term)
M85.45	Solitary bone cyst
M85.451	Solitary bone cyst, right pelvis (non-NHS term)
M85.452	Solitary bone cyst, left pelvis (non-NHS term)
M85.459	Solitary bone cyst, unspecified pelvis (non-NHS term)
M85.46	Solitary bone cyst
M85.461	Solitary bone cyst, right tibia and fibula (non-NHS term)
M85.462	Solitary bone cyst, left tibia and fibula (non-NHS term)
M85.469	Solitary bone cyst, unspecified tibia and fibula (non-NHS term)
M85.47	Solitary bone cyst
M85.471	Solitary bone cyst, right ankle and foot (non-NHS term)
M85.472	Solitary bone cyst, left ankle and foot (non-NHS term)
M85.479	Solitary bone cyst, unspecified ankle and foot (non-NHS term)
M85.48	Solitary bone cyst
M85.49	Solitary bone cyst
M85.5	Aneurysmal bone cyst
M85.50	Aneurysmal bone cyst
M85.51	Aneurysmal bone cyst
M85.511	Aneurysmal bone cyst, right shoulder (non-NHS term)
M85.512	Aneurysmal bone cyst, left shoulder (non-NHS term)
